Elapsed milliseconds,x,y,rotation
1,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
53,0.0,0.0,0.0
74,0.0,0.0,0.0
93,0.0,0.0,0.0
113,0.0,0.0,0.0
133,0.0,0.0,0.0
154,0.0,0.0,0.0
173,0.0,0.0,0.0
193,0.0,0.0,0.0
214,0.0,0.0,0.0
234,0.0,0.0,0.0
253,0.0,0.0,0.0
273,0.0,0.0,0.0
293,0.0,0.0,0.0
327,0.0,0.0,0.0
333,0.0,0.0,0.0
353,0.0,0.0,0.0
373,0.0,0.0,0.0
393,0.0,0.0,0.0
413,0.0,0.0,0.0
433,0.0,0.0,0.0
453,0.0,0.0,0.0
473,0.0,0.0,0.0
493,0.0,0.0,0.0
513,0.0,0.0,0.0
533,0.0,0.0,0.0
553,0.0,0.0,0.0
574,0.0,0.0,0.0
593,0.0,0.0,0.0
613,0.0,0.0,0.0
633,0.0,0.0,0.0
654,0.0,0.0,0.0
673,0.0,0.0,0.0
694,0.0,0.0,0.0
713,0.0,0.0,0.0
733,0.0,0.0,0.0
754,0.0,0.0,0.0
774,0.0,0.0,0.0
